Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Prediction,source
Almond Cookies,Almonds,Sugar,Butter,Flour,"Dairy, Tree Nuts, Wheat",Contains,original
Cheddar Cheese,Cheese,,,Salt,Dairy,Contains,original
Ranch Dressing,Buttermilk,Sugar,Vegetable oil,"Garlic, herbs",Dairy,Contains,original
Caramel Popcorn,Popcorn,Sugar,Butter,Salt,Dairy,Contains,original
Caesar Salad,Romaine lettuce,,Olive oil,Parmesan cheese,Dairy,Contains,original
Caesar Wrap,Grilled chicken,,Caesar dressing,"Lettuce, Parmesan cheese",Dairy,Contains,original
Strawberry Smoothie,Strawberries,Honey,"Yogurt (milk, cultures)",,Dairy,Contains,original
Cheese Pizza,Cheese,,,Tomato sauce,Dairy,Contains,original
Margherita Pizza,Cheese,,,"Tomato sauce, basil",Dairy,Contains,original
Mashed Potatoes,Potatoes,,Butter,"Salt, Pepper",Dairy,Contains,original
Greek Yogurt,"Yogurt (milk, cultures)",,,,Dairy,Contains,original
Caesar Salad Wrap,Grilled chicken,,Caesar dressing,"Lettuce, Parmesan cheese",Dairy,Contains,original
Caprese Salad,Tomatoes,,Olive oil,"Mozzarella cheese, basil",Dairy,Contains,original
Berry Smoothie,Mixed berries,Sugar,"Yogurt (milk, cultures)",,Dairy,Contains,original
Berry Parfait,Mixed berries,Sugar,"Yogurt (milk, cultures)",Granola,Dairy,Contains,original
Chicken Alfredo,Chicken,,Butter,"Cream, Parmesan cheese",Dairy,Contains,original
Pesto Pizza,Pesto sauce,,,"Mozzarella cheese, basil",Dairy,Contains,original
Beef Stroganoff,Beef,,Sour cream,"Mushroom, onion",Dairy,Contains,original
Banana Smoothie,Bananas,Honey,"Yogurt (milk, cultures)",,Dairy,Contains,original
Watermelon Salad,Watermelon,,,"Feta cheese, mint",Dairy,Contains,original
Chicken Parmesan,Chicken,,"Bread crumbs, Parmesan cheese",Marinara sauce,Dairy,Contains,original
Mango Lassi,Mango,Sugar,"Yogurt (milk, cultures)",Cardamom,Dairy,Contains,original
Greek Salad,Cucumbers,,Olive oil,"Feta cheese, olives",Dairy,Contains,original
Butternut Squash Soup,Butternut squash,,Butter,Vegetable broth,Dairy,Contains,original
Margherita Pasta,Pasta,,Olive oil,"Fresh tomatoes, mozzarella",Dairy,Contains,original
Greek Gyro Wrap,Lamb,,,"Tzatziki sauce, tomatoes, onions",Dairy,Contains,original
Spinach and Feta Stuffed Chicken,Chicken,,Olive oil,"Spinach, feta cheese",Dairy,Contains,original
Chicken Fettuccine Alfredo,Chicken,,Butter,"Cream, Parmesan cheese",Dairy,Contains,original
Caprese Sandwich,Tomatoes,,Olive oil,"Mozzarella cheese, basil",Dairy,Contains,original
Mushroom Risotto,Mushrooms,,Butter,"Arborio rice, Parmesan cheese",Dairy,Contains,original
Greek Yogurt Parfait,Greek yogurt,Honey,,"Granola, mixed berries",Dairy,Contains,original
Eggplant Parmesan,Eggplant,,Olive oil,"Marinara sauce, cheese",Dairy,Contains,original
Banana Pudding,Bananas,Sugar,Milk,"Vanilla pudding mix, cookies",Dairy,Contains,original
Margherita Pizza,Pizza dough,,Olive oil,"Mozzarella cheese, tomatoes, basil",Dairy,Contains,original
Chicken Caesar Wrap,Chicken,,Caesar dressing,"Romaine lettuce, Parmesan cheese",Dairy,Contains,original
Greek Spanakopita,Spinach,,Olive oil,"Feta cheese, phyllo dough",Dairy,Contains,original
Mushroom Soup,Mushrooms,,Butter,Vegetable broth,Dairy,Contains,original
Spinach Artichoke Dip,Spinach,,"Cream cheese, sour cream","Parmesan cheese, garlic",Dairy,Contains,original
Chocolate Mousse,Chocolate,Sugar,Heavy cream,Vanilla extract,Dairy,Contains,original
Stuffed Portobello Mushrooms,Portobello mushrooms,,,"Cheese, breadcrumbs",Dairy,Contains,original
Tandoori Chicken,Chicken,,Yogurt,Tandoori spices,Dairy,Contains,original
Baked Garlic Parmesan Chicken,Chicken,,Butter,"Parmesan cheese, garlic",Dairy,Contains,original
Mushroom and Goat Cheese Flatbread,Mushrooms,,Olive oil,"Goat cheese, herbs",Dairy,Contains,original
Pumpkin Soup,Pumpkin,,Butter,"Nutmeg, cream",Dairy,Contains,original
Caprese Skewers,Tomatoes,,Olive oil,"Mozzarella cheese, basil",Dairy,Contains,original
Chicken Piccata,Chicken,,Butter,"Lemon, capers",Dairy,Contains,original
Berry Parfait,Berries,Honey,Yogurt,Granola,Dairy,Contains,original
Stuffed Mushrooms,Mushrooms,,,"Cheese, breadcrumbs",Dairy,Contains,original
Butter Chicken,Chicken,Sugar,Butter,"Tomato sauce, cream",Dairy,Contains,original
Palak Paneer,Spinach,,Ghee,"Paneer, spices",Dairy,Contains,original
Rogan Josh,Lamb,,Ghee,"Yogurt, Kashmiri red chili",Dairy,Contains,original
Paneer Tikka,Paneer,,Oil,"Tikka masala, spices",Dairy,Contains,original
Dal Makhani,Lentils,,Ghee,"Cream, spices",Dairy,Contains,original
Malai Kofta,Cottage cheese,,Ghee,Creamy tomato sauce,Dairy,Contains,original
Chicken Tikka Masala,Chicken,Sugar,Ghee,"Tomato sauce, cream",Dairy,Contains,original
Gulab Jamun,Milk solids,Sugar,Ghee,Cardamom syrup,Dairy,Contains,original
Chicken Korma,Chicken,,Ghee,"Creamy sauce, spices",Dairy,Contains,original
Malai Chicken Tikka,Chicken,,Cream,Spices,Dairy,Contains,original
Dahi Vada,Lentil dumplings,,Yogurt,"Tamarind chutney, spices",Dairy,Contains,original
Chicken Malai Tikka,Chicken,,Cream,Spices,Dairy,Contains,original
Matar Paneer,Paneer,,Ghee,"Peas, spices",Dairy,Contains,original
Rasgulla,Paneer,Sugar,,"Rose water, syrup",Dairy,Contains,original
Rabri,Milk,Sugar,Ghee,"Cardamom, nuts",Dairy,Contains,original
Kheer,Rice,Sugar,Ghee,"Cardamom, nuts",Dairy,Contains,original
Rasmalai,Paneer,Sugar,"Milk, Ghee","Cardamom, nuts",Dairy,Contains,original
Chicken Caesar Salad,Chicken breast,,Olive oil,Parmesan cheese,"Dairy, Fish",Contains,original
Quiche Lorraine,Bacon,,Heavy cream,"Cheese, eggs","Dairy, Eggs",Contains,original
Chicken Piccata,Chicken,,Butter,"Lemon, capers","Dairy, Fish",Contains,original
French Onion Soup,Onions,,Butter,"Beef broth, cheese, bread","Dairy, Wheat",Contains,original
Greek Gyro,Lamb/Chicken,,,"Tzatziki sauce, vegetables","Dairy, Wheat",Contains,original
Omelette,Eggs,,Butter,"Salt, pepper",Eggs,Contains,original
Egg Salad,Eggs,Mayonnaise,,"Celery, onion",Eggs,Contains,original
Quiche,Eggs,,Cheese,Vegetables,"Dairy, Eggs",Contains,original
Egg Salad Sandwich,Eggs,Mayonnaise,,"Celery, mustard","Eggs, Mustard",Contains,original
Egg Fried Rice,Eggs,,Sesame oil,Soy sauce,"Eggs, Soybeans",Contains,original
Fish Sticks,Fish fillets,,Vegetable oil,Salt,Fish,Contains,original
Baked Salmon,Salmon fillet,,Olive oil,"Lemon, herbs",Fish,Contains,original
Teriyaki Salmon,Salmon,,Vegetable oil,Teriyaki sauce,Fish,Contains,original
Baked Salmon,Salmon,,Olive oil,"Lemon, herbs",Fish,Contains,original
Lemon Dill Salmon,Salmon,,Olive oil,"Lemon, dill",Fish,Contains,original
Baked Cod,Cod,,Butter,"Lemon, herbs","Dairy, Fish",Contains,original
Tuna Sandwich,Tuna,Mayonnaise,,"Salt, Pepper","Eggs, Fish",Contains,original
Tuna Salad,Tuna,Mayonnaise,,"Celery, onion","Eggs, Fish",Contains,original
Sushi,"Fish (salmon, tuna)",Rice vinegar,Sesame oil,Soy sauce,"Fish, Soybeans",Contains,original
Teriyaki Salmon,Salmon fillet,Sugar,Soy sauce,"Ginger, garlic","Fish, Soybeans",Contains,original
Sushi Bowl,Sushi rice,,Soy sauce,"Raw fish, vegetables","Fish, Soybeans",Contains,original
Honey Soy Glazed Salmon,Salmon,Honey,Soy sauce,"Garlic, ginger","Fish, Soybeans",Contains,original
Milk Chocolate,Sugar,Cocoa butter,Milk powder,Vanilla extract,Dairy,Contains,original
Vanilla Ice Cream,Milk,Sugar,Cream,Vanilla extract,Dairy,Contains,original
Vanilla Yogurt,"Yogurt (milk, cultures)",Sugar,,Vanilla extract,Dairy,Contains,original
Chicken Satay,Chicken,,Peanut butter,Soy sauce,Peanuts,Contains,original
Peanut Butter,Peanuts,Sugar,Vegetable oil,Salt,Peanuts,Contains,original
Shrimp Scampi,Shrimp,,Butter,"Garlic, lemon",Shellfish,Contains,original
Shrimp Scampi Pasta,Shrimp,,Butter,"Garlic, lemon",Shellfish,Contains,original
Garlic Shrimp,Shrimp,,Olive oil,Garlic,Shellfish,Contains,original
Lemon Garlic Shrimp,Shrimp,,Olive oil,"Lemon juice, garlic",Shellfish,Contains,original
Prawn Biryani,Prawns,,Ghee,"Basmati rice, spices",Shellfish,Contains,original
Lobster Bisque,Lobster,,Butter,"Cream, brandy","Dairy, Shellfish",Contains,original
Caesar Shrimp Skewers,Shrimp,,Olive oil,Caesar dressing,"Dairy, Shellfish",Contains,original
Shrimp Scampi,Shrimp,,Butter,"Garlic, lemon","Dairy, Shellfish",Contains,original
Prawn Curry,Prawns,,Coconut milk,Curry spices,"Dairy, Shellfish",Contains,original
Lobster Roll,Lobster,,Mayonnaise,"Celery, lemon juice","Eggs, Shellfish",Contains,original
Shrimp Fried Rice,Shrimp,,Vegetable oil,Soy sauce,"Shellfish, Soybeans",Contains,original
Soy Milk,Soybeans,Sugar,,Emulsifiers,Soybeans,Contains,original
Tofu Stir-Fry,Tofu,,Vegetable oil,Soy sauce,Soybeans,Contains,original
Miso Soup,Miso paste,,,"Tofu, seaweed",Soybeans,Contains,original
Tofu Scramble,Tofu,,Vegetable oil,"Turmeric, spices",Soybeans,Contains,original
Chicken Teriyaki,Chicken,,Soy sauce,"Honey, ginger",Soybeans,Contains,original
Teriyaki Beef,Beef,,Soy sauce,"Teriyaki sauce, vegetables",Soybeans,Contains,original
Sushi Rolls,Sushi rice,,Soy sauce,"Nori (seaweed), fish","Fish, Soybeans",Contains,original
Wheat Bread,Wheat flour,,,Salt,Wheat,Contains,original
Zucchini Bread,Zucchini,Sugar,Vegetable oil,Flour,Wheat,Contains,original
Chicken Noodle Casserole,Chicken,,Butter,"Noodles, vegetables",Wheat,Contains,original
Onion Rings,Onions,,Vegetable oil,Flour,Wheat,Contains,original
Chicken Pot Pie,Chicken,,Butter,"Vegetables, pastry",Wheat,Contains,original
Grilled Portobello Mushroom Burger,Portobello mushrooms,,,"Burger bun, vegetables",Wheat,Contains,original
Aloo Paratha,Potatoes,,Ghee,"Wheat flour, spices",Wheat,Contains,original
Oatmeal Raisin Cookies,Oats,Sugar,Butter,Flour,"Dairy, Wheat",Contains,original
Pancakes,Flour,Sugar,Butter,Baking powder,"Dairy, Wheat",Contains,original
Carrot Cake,Carrots,Sugar,Vegetable oil,Cinnamon,"Dairy, Wheat",Contains,original
Blueberry Muffins,Blueberries,Sugar,Butter,Flour,"Dairy, Wheat",Contains,original
Chocolate Chip Cookies,Flour,Sugar,Butter,Chocolate chips,"Dairy, Wheat",Contains,original
Mushroom Risotto,Arborio rice,,Butter,Mushroom,"Dairy, Wheat",Contains,original
Cinnamon Rolls,Flour,Sugar,Butter,Cinnamon,"Dairy, Wheat",Contains,original
Pineapple Upside-Down Cake,Pineapple,Sugar,Butter,Flour,"Dairy, Wheat",Contains,original
Apple Pie,Apples,Sugar,Butter,Cinnamon,"Dairy, Wheat",Contains,original
Banana Bread,Bananas,Sugar,Butter,Flour,"Dairy, Wheat",Contains,original
Vanilla Cupcakes,Flour,Sugar,Butter,Vanilla extract,"Dairy, Wheat",Contains,original
Apple Crisp,Apples,Sugar,Butter,Cinnamon,"Dairy, Wheat",Contains,original
Pasta Carbonara,Pasta,,Bacon,"Egg, Parmesan cheese","Dairy, Wheat",Contains,original
Blueberry Pancakes,Flour,Sugar,Butter,Blueberries,"Dairy, Wheat",Contains,original
Lemon Bars,Flour,Sugar,Butter,Lemon juice,"Dairy, Wheat",Contains,original
Pumpkin Pie,Pumpkin,Sugar,Butter,"Cinnamon, nutmeg","Dairy, Wheat",Contains,original
Mixed Berry Pie,Mixed berries,Sugar,Butter,Flour,"Dairy, Wheat",Contains,original
Garlic Bread,Bread,,Butter,Garlic,"Dairy, Wheat",Contains,original
Berry Cobbler,Mixed berries,Sugar,Butter,Flour,"Dairy, Wheat",Contains,original
Baked Ziti,Pasta,,Cheese,Tomato sauce,"Dairy, Wheat",,original
Key Lime Pie,Lime juice,Sugar,Butter,Graham cracker crust,"Dairy, Wheat",Contains,original
Lemon Poppy Seed Muffins,Flour,Sugar,Butter,"Lemon zest, poppy seeds","Dairy, Wheat",Contains,original
Chicken Quesadilla,Chicken,,Butter,Cheese,"Dairy, Wheat",Contains,original
Pancake Stack,Flour,Sugar,Butter,Maple syrup,"Dairy, Wheat",Contains,original
Strawberry Shortcake,Strawberries,Sugar,Whipped cream,Shortcake,"Dairy, Wheat",Contains,original
Berry Crumble,Mixed berries,Sugar,Butter,"Oats, cinnamon","Dairy, Wheat",Contains,original
Raspberry Cheesecake,Cream cheese,Sugar,Butter,"Graham cracker crust, raspberries","Dairy, Wheat",Contains,original
Chicken Enchiladas,Chicken,,Enchilada sauce,"Cheese, tortillas","Dairy, Wheat",Contains,original
Caesar Salad Wrap,Romaine lettuce,,Caesar dressing,"Parmesan cheese, croutons","Dairy, Wheat",Contains,original
S'mores,Graham crackers,Marshmallows,Chocolate,,"Dairy, Wheat",Contains,original
